time,logger,level,database,message,exception
2013-05-22 20:58:13.3313,Raven.Database.Indexing.Index.Querying,Debug,Paramore_Integration_Tests,Issuing query on index Raven/DocumentsByEntityName for: Tag:SpeakerDocuments,
2013-05-22 20:58:13.3633,Raven.Database.Server.HttpServer,Debug,,Request #  11: GET     -   287 ms - Paramore_Integration_Tests - 200 - /indexes/dynamic/SpeakerDocuments?query=&pageSize=128&cutOffEtag=00000001-0000-0100-0000-000000000002,
2013-05-22 20:58:13.3633,Raven.Database.Server.HttpServer,Debug,,"	Query: Tag:SpeakerDocuments
	Time: 254 ms
	Index: Raven/DocumentsByEntityName
	Results: 0 returned out of 0 total.
",
2013-05-22 20:58:13.4853,Raven.Database.Indexing.Index.Indexing,Debug,,Indexed 1 documents for Raven/DocumentsByEntityName,
2013-05-22 20:58:13.4863,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,"After indexing 1 documents, the new last etag for is: 00000001-0000-0100-0000-000000000002 for Raven/DocumentsByEntityName",
2013-05-22 20:58:13.4863,Raven.Database.Indexing.WorkContext,Debug,Paramore_Integration_Tests,Incremented work counter to 6 because: WORK BY IndexingExecuter,
2013-05-22 20:58:13.4863,Raven.Database.Indexing.WorkContext,Debug,Paramore_Integration_Tests,"No work was found, workerWorkCounter: 6, for: IndexingExecuter, will wait for additional work",
2013-05-22 20:58:13.4863,Raven.Database.Indexing.WorkContext,Debug,Paramore_Integration_Tests,"No work was found, workerWorkCounter: 6, for: ReducingExecuter, will wait for additional work",
2013-05-22 20:58:13.4863,Raven.Database.Server.HttpServer,Debug,,Request #  12: GET     -     6 ms - Paramore_Integration_Tests - 304 - /indexes/dynamic/SpeakerDocuments?query=&pageSize=128&cutOffEtag=00000001-0000-0100-0000-000000000002,
2013-05-22 20:58:13.4863,Raven.Database.Server.HttpServer,Debug,,"	Query: 
	Time: 4 ms
",
2013-05-22 20:58:13.5933,Raven.Database.Indexing.Index.Querying,Debug,Paramore_Integration_Tests,Issuing query on index Raven/DocumentsByEntityName for: Tag:SpeakerDocuments,
2013-05-22 20:58:13.6203,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Paramore_Integration_Tests,Document with key 'speakerdocuments/4f3beb32-d550-465e-ba72-5f0c98a3b0c4' was found,
